scenario,family,M,T,R,missing,statistic,support_rate,refuted_rate,abstain_rate,ci_coverage,mean_est,H_true,label
dominance_clean,null,3,400,3,complete,crossfit_gain,0.0,0.0,0.1667,0.1667,-0.01507,0.0,FPR
dominance_clean,null,3,400,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0333,-0.06368,0.0,FPR
dominance_clean,null,20,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.13776,0.0,FPR
dominance_clean,null,20,400,3,complete,frozen_gain,0.0,0.0,0.4267,0.4733,-0.01739,0.0,FPR
dominance_clean,null,20,400,3,complete,crossfit_gain,0.0,0.0,0.1333,0.1333,-0.01701,0.0,FPR
dominance_clean,null,20,400,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0,-0.10329,0.0,FPR
dominance_clean,null,9,100,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.13082,0.0,FPR
dominance_clean,null,9,100,3,complete,frozen_gain,0.08,0.0,0.7733,0.8133,0.00177,0.0,FPR
dominance_clean,null,9,100,3,complete,crossfit_gain,0.0533,0.0,0.6933,0.64,-0.00347,0.0,FPR
dominance_clean,null,9,100,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.3467,-0.09182,0.0,FPR
dominance_clean,null,9,1000,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.12938,0.0,FPR
dominance_clean,null,9,1000,3,complete,frozen_gain,0.0,0.0,0.12,0.14,-0.01642,0.0,FPR
dominance_clean,null,9,1000,3,complete,crossfit_gain,0.0,0.0,0.0133,0.0133,-0.01646,0.0,FPR
dominance_clean,null,9,1000,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0,-0.09317,0.0,FPR
dominance_clean,null,9,400,3,mcar5,plugin_descriptive,0.6667,0.0,0.3333,0.0,0.13143,0.0,FPR
dominance_clean,null,9,400,3,mcar5,frozen_gain,0.0533,0.0,0.66,0.76,-0.00913,0.0,FPR
dominance_clean,null,9,400,3,mcar5,crossfit_gain,0.0267,0.0,0.6267,0.5867,-0.00888,0.0,FPR
dominance_clean,null,9,400,3,mcar5,clone_calibrated_v3,0.0,0.0,1.0,0.7533,-0.08636,0.0,FPR
dominance_clean,null,9,400,3,mnar_hard3,plugin_descriptive,0.06,0.0,0.94,0.0,0.12977,0.0,FPR
dominance_clean,null,9,400,3,mnar_hard3,frozen_gain,0.02,0.0,0.56,0.9,-0.00622,0.0,FPR
dominance_clean,null,9,400,3,mnar_hard3,crossfit_gain,0.06,0.0,0.6067,0.6467,-0.00415,0.0,FPR
dominance_clean,null,9,400,3,mnar_hard3,clone_calibrated_v3,0.0,0.0,1.0,0.56,-0.08785,0.0,FPR
dominance_reviewer,null,9,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.0697,0.0,FPR
dominance_reviewer,null,9,400,3,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.21874,0.0,FPR
dominance_reviewer,null,9,400,3,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.21974,0.0,FPR
dominance_reviewer,null,9,400,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0,-0.26749,0.0,FPR
dominance_reviewer,null,9,400,5,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.03387,0.0,FPR
dominance_reviewer,null,9,400,5,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.22035,0.0,FPR
dominance_reviewer,null,9,400,5,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.22017,0.0,FPR
dominance_reviewer,null,9,400,5,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0,-0.17308,0.0,FPR
dominance_reviewer,null,9,400,10,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.00648,0.0,FPR
dominance_reviewer,null,9,400,10,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.22144,0.0,FPR
dominance_reviewer,null,9,400,10,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.21989,0.0,FPR
dominance_reviewer,null,9,400,10,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0533,-0.05695,0.0,FPR
dominance_reviewer,null,9,400,20,complete,plugin_descriptive,0.1333,0.0,0.7467,0.8667,0.00035,0.0,FPR
dominance_reviewer,null,9,400,20,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.22042,0.0,FPR
dominance_reviewer,null,9,400,20,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.22012,0.0,FPR
dominance_reviewer,null,9,400,20,complete,clone_calibrated_v3,0.0,0.0,1.0,0.8467,-0.0055,0.0,FPR
dominance_reviewer,null,3,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.02843,0.0,FPR
dominance_reviewer,null,3,400,3,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.22182,0.0,FPR
dominance_reviewer,null,3,400,3,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.22053,0.0,FPR
dominance_reviewer,null,3,400,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0,-0.13253,0.0,FPR
dominance_reviewer,null,20,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.09297,0.0,FPR
dominance_reviewer,null,20,400,3,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.22184,0.0,FPR
dominance_reviewer,null,20,400,3,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.22034,0.0,FPR
dominance_reviewer,null,20,400,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0,-0.33421,0.0,FPR
dominance_reviewer,null,9,100,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.07073,0.0,FPR
dominance_reviewer,null,9,100,3,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.2224,0.0,FPR
dominance_reviewer,null,9,100,3,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.21793,0.0,FPR
dominance_reviewer,null,9,100,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0067,-0.26516,0.0,FPR
dominance_reviewer,null,9,1000,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.06857,0.0,FPR
dominance_reviewer,null,9,1000,3,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.2191,0.0,FPR
dominance_reviewer,null,9,1000,3,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.2199,0.0,FPR
dominance_reviewer,null,9,1000,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0,-0.26564,0.0,FPR
dominance_reviewer,null,9,400,3,mcar5,plugin_descriptive,0.5933,0.0,0.4067,0.0,0.07526,0.0,FPR
dominance_reviewer,null,9,400,3,mcar5,frozen_gain,0.0,0.0,0.0,0.0,-0.21627,0.0,FPR
dominance_reviewer,null,9,400,3,mcar5,crossfit_gain,0.0,0.0,0.0,0.0,-0.22057,0.0,FPR
dominance_reviewer,null,9,400,3,mcar5,clone_calibrated_v3,0.0,0.0,1.0,0.28,-0.26188,0.0,FPR
dominance_reviewer,null,9,400,3,mnar_hard3,plugin_descriptive,0.0,0.0,1.0,0.0,,0.0,FPR
dominance_reviewer,null,9,400,3,mnar_hard3,frozen_gain,0.0,0.0,0.9933,0.0,-0.32812,0.0,FPR
dominance_reviewer,null,9,400,3,mnar_hard3,crossfit_gain,0.0,0.0,0.9933,0.0,-0.27083,0.0,FPR
dominance_reviewer,null,9,400,3,mnar_hard3,clone_calibrated_v3,0.0,0.0,1.0,0.6067,-0.25765,0.0,FPR
dominance_hetero,null,9,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.11058,0.0,FPR
